Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,"Wskaż sytuację, w której chemioprofilaktyka antybiotykowa jest zgodna z aktualną wiedzą:",pacjentka z wysokim ryzykiem infekcyjnego zapalenia wsierdzia z planowanym leczeniem stomatologicznym,,,,,nieprzytomny chory unieruchomiony na OIOM,80-letnia pacjentka z nietrzymaniem moczu i bezobjawową bakteriurią,starszy pacjent z COVID-19 i niewydolnością oddechową,,
ZABURZENIA RYTMU SERCA,Interakcje,,testowe,Wskaż kombinację leków o przeciwnych efektach chronotropowych:,diltiazem – atropina,amiodaron – dobutamina,,,,iwabradyna – digoksyna,efedryna – izoprenalina,,,
LEKI HIPOLIPEMIZUJĄCE,Działania niepożądane,,testowe,Ryzyko miopatii i rabdomiolizy przy stosowaniu statyny wzrasta gdy:,jednoczesne stosowanie amlodypiny,niedoczynność tarczycy,stosowanie u kobiety powyżej 85 r.ż.,nadużywanie alkoholu,,jednoczesne stosowanie ezetymibu,nadczynność tarczycy,stosowanie u młodego mężczyzny bez chorób współistniejących,,
UKŁAD POKARMOWY,Wskazania,,testowe,Wskaż prawdziwe stwierdzenia dotyczące leków działających na przewód pokarmowy:,pankreatyna nie jest wskazana w ostrym zapaleniu trzustki,"metoklopramid może powodować objawy pozapiramidowe, dlatego stosowanie go jako leku przeciwwymiotnego powinno mieć charakter doraźny",,,,fosforan sodu jako osmotyczny lek przeczyszczający nie powoduje zaburzeń elektrolitowych,famotydyna jest elementem schematu eradykacji Helicobacter pylori,,,
NIEWYDOLNOŚĆ SERCA,Wskazania,,testowe,U pacjenta z niewydolnością serca z obniżoną frakcją wyrzutową zastosujesz:,ramipryl,eplerenon,,,,labetalol,kanagliflozyna,,,
HEMOSTAZA,Sposób podania,,testowe,Wskaż prawdziwe stwierdzenia dotyczące leczenia przeciwkrzepliwego:,"efekt antagonistów witaminy K zależy od czasu półtrwania czynników krzepnięcia, dlatego w początkowej fazie leczenia stosuje się heparynę",NOAC nie są zamiennikiem antagonistów witaminy K u pacjenta ze sztuczną zastawką,"heparynę drobnocząsteczkową stosuje się dożylnie lub podskórnie, ale nie domięśniowo",,,"heparyna niefrakcjonowana nie posiada swoistego antidotum, dlatego stosuje się leczenie objawowe",,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Profilaktyka zakażenia miejsca operowanego:,jest dopasowana indywidualnie do potencjalnego czynnika zakaźnego,,,,,"jest każdorazowo konieczna, niezależnie od czystości pola operacyjnego","jest zawsze jednorazowa, 30–60 minut przed nacięciem skóry",jest zawsze podawana w dawce standardowej,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,"Lek nie wchłania się z przewodu pokarmowego, wiąże się z białkami w 98%, nie jest metabolizowany, jest wydalany z moczem w postaci czynnej. Wskaż prawidłowe stwierdzenie:",przy niewydolności nerek wzrośnie jego okres półtrwania,,,,,przy stosowaniu worykonazolu wzrośnie jego czas półtrwania,przy stosowaniu aktywatorów glikoproteiny P zmniejszy się jego biodostępność po podaniu doustnym,przy znacznej hipoalbuminemii zmaleje jego efekt kliniczny,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,W zatruciu opioidami występuje:,hipotermia,niedociśnienie,sztywność mięśniowa,,,tachypnoe,,,,
LEKI PRZECIWHISTAMINOWE,Wskazania,,testowe,W leczeniu zawrotów głowy pochodzenia błędnikowego stosuje się:,betahistyna,dimenhydrynat,tietylperazyna,,,feksofenadyna,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Fosfomycynę można zastosować w zakażeniu szczepami:,MDR,CPE,VRE,MRSA,,Candida albicans,Aspergillus fumigatus,Mycobacterium tuberculosis,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Przy genetycznie zmniejszonym metabolizmie leku w wątrobie:,okres półtrwania tego leku będzie dłuższy,trzeba podawać mniejszą dawkę leku niż standardowo,,,,większy będzie jego klirens,istnieje konieczność wdrożenia induktora tego enzymu,,,
LEKI PRZECIWHISTAMINOWE,Farmakokinetyka,,testowe,Desloratadyna:,może być stosowana w alergicznym nieżycie nosa,działa selektywnie na receptor H1,,,,istotnie wpływa na aktywność cytochromu P450,może być stosowana pozajelitowo,,,
HEMOSTAZA,Wskazania,,testowe,Alteplaza:,jest podawana w udarze niedokrwiennym mózgu,należy ją podać jak najszybciej po wystąpieniu epizodu niedokrwiennego,,,,jest bezpośrednim inhibitorem plazminy,jest lekiem I rzutu w ostrym zespole wieńcowym,,,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,Escitalopram:,przy przedawkowaniu może powodować rozszerzenie źrenic,jest lekiem z grupy SSRI,w początkowym okresie leczenia może nasilać lęk,w początkowym okresie leczenia może zwiększać ryzyko samobójstwa,,jest trójpierścieniowym lekiem przeciwdepresyjnym,przy przedawkowaniu powoduje zwężenie źrenic,działa przeciwlękowo już od pierwszej dawki,,
LEKI PRZECIWWIRUSOWE,Wskazania,,testowe,W leczeniu COVID-19 stosuje się:,tocilizumab,molnupirawir,remdesywir,,,iwermektyna,,,,
FARMAKOKINETYKA,Interakcje,,testowe,Interakcje wykazują zestawienia leków:,itopryd + skopolamina,ondansetron + tramadol,omeprazol + klopidogrel,wankomycyna + gentamycyna,,paracetamol + witamina C,amoksycylina + loratadyna,insulina + wapń,,
CHOROBA NIEDOKRWIENNA SERCA,Mechanizm działania,,testowe,Wskaż prawidłowe połączenie lek – mechanizm działania:,ranolazyna – hamowanie późnego prądu sodowego,amiodaron – antagonista kanałów potasowych,,,,fentolamina – wybiórczy antagonista receptora alfa-1,metyldopa – antagonista receptora alfa-2,,,
OSTEOPOROZA,Działania niepożądane,,testowe,Ryzedronian może powodować:,owrzodzenia przełyku,martwica kości żuchwy,,,,powikłania sercowo-naczyniowe,hamowanie mineralizacji kości,,,
LEKI HIPOLIPEMIZUJĄCE,Mechanizm działania,,testowe,Wskaż prawdziwe zdanie o lekach wpływających na profil lipidowy:,ewolokumab hamuje PCSK-9,ezetymib jest lekiem drugiego rzutu w leczeniu powikłań sercowo-naczyniowych,,,,fibraty znacząco podwyższają frakcję HDL,inklisiran może wywołać ostre zapalenie trzustki,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,W leczeniu gruźlicy u pacjenta z niewydolnością wątroby nasilenia jej niewydolności można spodziewać się przy zastosowaniu:,izoniazyd,pirazynamid,ryfampicyna,,,etambutol,,,,
UKŁAD WSPÓŁCZULNY,Mechanizm działania,,testowe,Wskaż efekty kliniczne związane z aktywacją receptorów beta-2:,rozkurcz mięśniówki gładkiej oskrzeli,,,,,ślinotok,hipoglikemia,bradykardia,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W leczeniu pozaszpitalnego zapalenia płuc o etiologii paciorkowcowej zgodne z aktualnymi wskazaniami jest zastosowanie:,amoksycylina bez inhibitora beta-laktamaz przez 7 dni,lewofloksacyna w przypadku nadwrażliwości na beta-laktamy przez 7 dni,,,,klarytromycyna przez 7 dni,doksycyklina w przypadku nadwrażliwości na beta-laktamy przez 7 dni,,,
NIEWYDOLNOŚĆ SERCA,Mechanizm działania,,testowe,Digoksyna działa:,zwiększa aktywność układu przywspółczulnego,dromotropowo ujemnie,inotropowo dodatnio,,,hipotensyjnie,,,,
CUKRZYCA,Sposób podania,,testowe,W hipoglikemii można podać:,glukoza doustnie,glukagon donosowo,glukoza dożylnie,glukagon podskórnie,,insulina podskórnie,metformina doustnie,akarboza doustnie,,
STANY NAGŁE,Antidotum,,testowe,Wskaż prawidłowe połączenie trucizna – odtrutka:,metanol – fomepizol,cyjanek – hydroksykobalamina,diazepam – flumazenil,,,rtęć – deferoksamina,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Wskaż prawidłowo podane spektrum antybiotyku:,"lewofloksacyna – Streptococcus pneumoniae, Pseudomonas aeruginosa",,,,,"cefotaksym – Pseudomonas aeruginosa, Klebsiella pneumoniae","azytromycyna – Streptococcus pneumoniae, Pseudomonas aeruginosa",klindamycyna – Proteus mirabilis,,
CUKRZYCA,Mechanizm działania,,testowe,Wskaż prawdziwe stwierdzenia dotyczące leków przeciwcukrzycowych:,liraglutyd zwiększa wydzielanie insuliny z komórek beta trzustki,kanagliflozyna zmniejsza wchłanianie zwrotne glukozy w kanaliku proksymalnym,metformina zmniejsza insulinooporność,,,insulina działa przez receptory jądrowe,,,,
CUKRZYCA,Wskazania,,testowe,Uzasadnione jest zastosowanie:,semaglutyd w terapii cukrzycy typu 2,metformina w leczeniu hirsutyzmu,dapagliflozyna w przewlekłej chorobie nerek,insulina w terapii cukrzycy ciężarnych,,metformina w cukrzycy typu 1 jako jedyny lek,akarboza w kwasicy ketonowej,glibenklamid w ciąży,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Dłużej niż wskazywałby na to jego okres półtrwania działa:,omeprazol,kwas acetylosalicylowy,,,,paracetamol,dekstrometorfan,,,
HEMOSTAZA,Monitorowanie,,testowe,Monitorowania terapii wymaga stosowanie:,inhibitora czynnika Xa w niewydolności nerek,heparyny niefrakcjonowanej u osoby otyłej,acenokumarolu,,,agonisty GPIIb/IIIa,,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Prolek:,może być aktywowany w osoczu,,,,,nie może być podawany dożylnie,zawsze wymaga prawidłowej funkcji wątroby,"ma dłuższy okres półtrwania niż leki, które nie są prolekami",,
GLIKOKORTYKOSTEROIDY,Wskazania,,testowe,Glikokortykosteroidy w leczeniu astmy oskrzelowej:,"mogą być stosowane zarówno przewlekle, jak i doraźnie",mogą być stosowane z montelukastem,mają potwierdzone zmniejszenie śmiertelności w terapii astmy,powodują up-regulację receptorów beta,,powodują down-regulację receptorów beta,są przeciwwskazane w skojarzeniu z beta-2-mimetykami,działają wyłącznie doraźnie w napadzie duszności,,
LEKI ROŚLINNE I SUPLEMENTY,Klasyfikacja,,testowe,Wskaż prawdziwe stwierdzenia dotyczące kategorii produktów:,insulina aspart jest lekiem biotechnologicznym,20% roztwór albumin jest produktem krwiopochodnym,,,,suplement diety jest produktem leczniczym,,,,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,"Lekiem, którego głównym mechanizmem działania jest hamowanie fosfodiesterazy, jest:",roflumilast,teofilina,drotaweryna,tadalafil,,montelukast,salbutamol,ipratropium,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Konsekwencją blokady receptorów dopaminergicznych jest:,dystonia,hiperprolaktynemia,działanie przeciwwymiotne,,,wzrost masy ciała,,,,
LEKI PRZECIWNOWOTWOROWE,Mechanizm działania,,testowe,Przez blokowanie receptorów działa:,deksametazon,,,,,cyklofosfamid,metotreksat,letrozol,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Wskazania,,testowe,Wskaż prawidłowe stwierdzenie dotyczące opioidów:,buprenorfina może być stosowana przewlekle,fentanyl dopoliczkowo jest stosowany w leczeniu bólu przebijającego,,,,buprenorfina razem z morfiną działa synergistycznie,petydyna powinna być stosowana w postępowaniu okołoporodowym,,,
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,,testowe,"Lek A jest prolekiem, działa bójczo, a jego dawkowanie musi być modyfikowane w niewydolności nerek. Lekiem A może być:",oseltamiwir,metronidazol,,,,etambutol,flukonazol,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Klasyfikacja,,testowe,"Lek A działa przeciwbólowo, nie działa przeciwzapalnie i nie wykazuje potencjalnej hepatotoksyczności. Lekiem A jest:",metamizol,oksykodon,,,,paracetamol,nimesulid,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W empirycznym leczeniu zakażenia układu moczowego można zastosować:,fosfomycyna,,,,,worykonazol,wankomycyna,kaspofungina,,
LEKI PRZECIWBAKTERYJNE,Ciąża,,testowe,U kobiety w ciąży z nadwrażliwością na beta-laktamy w leczeniu zakażenia dróg oddechowych można zastosować:,klarytromycyna,,,,,doksycyklina,cyprofloksacyna,amikacyna,,
CUKRZYCA,Działania niepożądane,,testowe,Wskaż prawidłowe połączenie lek – działanie niepożądane:,kanagliflozyna – hipotonia,propylotiouracyl – zapalenie wątroby,,,,etynyloestradiol – osteoporoza,spironolakton – hipernatremia,,,
LEKI HIPOLIPEMIZUJĄCE,Działania niepożądane,,testowe,Pogorszenie lipidogramu może wystąpić w przebiegu leczenia:,atenolol,olanzapina,lopinawir/rytonawir,etynyloestradiol,,ezetymib,rozuwastatyna,fenofibrat,,
HEMOSTAZA,Antidotum,,testowe,Rywaroksaban:,ma swoiste antidotum – andeksanet alfa,,,,,jest bezpośrednim inhibitorem czynnika IIa,jest prolekiem i wymaga aktywacji przez cytochrom P450,jak wszystkie NOAC jest stosowany w profilaktyce wtórnej ostrego zespołu wieńcowego,,
OTĘPIENIE,Wskazania,,testowe,Wskaż prawidłową parę lek – zastosowanie:,amitryptylina – ból neuropatyczny,rywastygmina – choroba Alzheimera,selegilina – choroba Parkinsona,,,donepezil – choroba Parkinsona,lewodopa – choroba Alzheimera,memantyna – ból neuropatyczny,,
UKŁAD ODDECHOWY,Klasyfikacja,,testowe,Działanie przeciwkaszlowe wykazuje:,butamirat,dekstrometorfan,,,,ambroksol,dornaza alfa,,,
TARCZYCA,Działania niepożądane,,testowe,Jatrogenną niedoczynność tarczycy może wywołać:,węglan litu,amiodaron,,,,etambutol,,,,
ZABURZENIA RYTMU SERCA,Działania niepożądane,,testowe,Bradykardię powoduje:,fentanyl,iwabradyna,werapamil,,,salbutamol,,,,
STANY NAGŁE,Antidotum,,testowe,Wskaż prawidłowe połączenie trucizna – objawy zatrucia:,paracetamol – zaburzenia krzepnięcia,glikol etylenowy – kwasica metaboliczna,,,,tlenek węgla – duszący kaszel,,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,W której sytuacji nie będzie efektu terapeutycznego ze względu na właściwości farmakokinetyczne leku?,wankomycyna podana doustnie w zapaleniu kości,ramipryl u pacjenta z niewydolnością wątroby,,,,dabigatran przy klirensie kreatyniny poniżej 15 ml/min,gentamycyna u szybkich metabolizerów CYP450,,,
NADCIŚNIENIE TĘTNICZE,Przeciwwskazania,,testowe,Wskaż prawdziwe stwierdzenia dotyczące inhibitorów konwertazy angiotensyny:,niektóre z nich są prolekami i wymagają metabolizmu do formy aktywnej,u pacjentów odwodnionych mogą wywołać niewydolność nerek,obustronne zwężenie tętnic nerkowych jest przeciwwskazaniem do ich stosowania,,,są bezpieczne w każdym trymestrze ciąży,powodują hipokaliemię,są lekami z wyboru w zwężeniu zastawki aortalnej,,
