Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Niepożądanym działaniem enalaprylu jest:,działanie hipotensyjne,zaburzenie smaku,kaszel,obrzęk naczynioruchowy,,hipokaliemia,hirsutyzm,przerost dziąseł,,
LEKI MOCZOPĘDNE,Wskazania,,testowe,Wskazaniem do stosowania spironolaktonu jest:,niewydolność serca,wodobrzusze w przebiegu marskości wątroby,pierwotny hiperaldosteronizm,,,choroba wieńcowa,,,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Mechanizm działania,,testowe,Który z poniższych leków wykazuje działanie agonistyczne w stosunku do receptorów opioidowych?,metadon,buprenorfina,oksykodon,pentazocyna,,nalokson,naltrekson,flumazenil,,
UKŁAD WSPÓŁCZULNY,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do fentolaminy:,może zaostrzyć objawy choroby wrzodowej,jest stosowana w leczeniu pheochromocytoma,słabo się wchłania po podaniu doustnym,,,nieodwracalnie blokuje receptory alfa-adrenergiczne,,,,
UKŁAD ODDECHOWY,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do salbutamolu:,nasila objawy choroby wieńcowej,wywołuje skurcze włókienkowe mięśni szkieletowych,,,,powoduje senność,obniża stężenie glukozy w surowicy,,,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,Antagonistą receptorów leukotrienowych jest:,zafirlukast,,,,,zileuton,flumazenil,dinoprost,,
LEKI MOCZOPĘDNE,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do torasemidu:,działa tak samo silnie jak furosemid,w porównaniu z furosemidem ma dłuższy czas biologicznego półtrwania,może być stosowany przewlekle,,,powoduje hiperkalcemię,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Klarytromycyna jest stosowana w zakażeniu:,Legionella pneumophila,Chlamydia trachomatis,Bordetella pertussis,,,Proteus mirabilis,,,,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,W zakażeniu Epidermophyton możesz zastosować:,amorolfina,ketokonazol,,,,amfoterycyna B,flucytozyna,,,
ANTYKONCEPCJA,Przeciwwskazania,,testowe,Przeciwwskazaniem do stosowania doustnych środków antykoncepcyjnych jest:,choroba naczyniowa mózgu,nowotwór sutka,ciąża,choroba zakrzepowo-zatorowa w wywiadzie,,niedokrwistość z niedoboru żelaza,trądzik pospolity,zespół policystycznych jajników,,
GLIKOKORTYKOSTEROIDY,Działania niepożądane,,testowe,Glikokortykosteroidy podane miejscowo do drzewa oskrzelowego mogą spowodować:,chrypka,kaszel,,,,grzybicze zakażenie zatok przynosowych,porażenie nerwu krtaniowego,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Efekt pierwszego przejścia zależy od:,szybkości pasażu przez przewód pokarmowy,szybkości eliminacji leku z organizmu,wielkości metabolizmu leku w wątrobie,,,szybkości wchłaniania,,,,
ZNIECZULENIA OGÓLNE,Klasyfikacja,,testowe,Neuroleptanalgezja jest wynikiem łącznego stosowania:,droperidol i fentanyl,,,,,fentanyl i propofol,propofol i podtlenek azotu,droperidol i podtlenek azotu,,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,Do działań niepożądanych amitryptyliny należy:,suchość błon śluzowych jamy ustnej,zaburzenia rytmu serca,,,,przerost dziąseł,zespół parkinsonopodobny,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,Atropina jest stosowana w:,premedykacji,zatruciu pestycydami,bradykardii zatokowej,,,leczeniu jaskry,,,,
NIEWYDOLNOŚĆ SERCA,Wskazania,,testowe,W leczeniu niewydolności serca możesz zastosować:,walsartan,lizynopryl,digoksyna,,,klopamid,,,,
NADCIŚNIENIE TĘTNICZE,Wskazania,,testowe,W przełomie nadciśnieniowym zastosujesz:,urapidil,labetalol,nitroprusydek sodu,,,triamteren,,,,
NADCIŚNIENIE TĘTNICZE,Przeciwwskazania,,testowe,Przeciwwskazaniem do podawania bisoprololu jest:,blok serca,dychawica oskrzelowa,bradykardia,chromanie przestankowe,,nadciśnienie tętnicze,częstoskurcz nadkomorowy,choroba niedokrwienna serca,,
UKŁAD WSPÓŁCZULNY,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do efedryny:,zaburza akomodację,wywołuje tachykardię,,,,powoduje senność,obniża ciśnienie tętnicze,,,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do teofiliny:,jest antagonistą receptorów adenozynowych,hamuje fosfodiesterazę,,,,zmniejsza syntezę prostaglandyn,hamuje topoizomerazę IV,,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Hiponatremia może wystąpić w przebiegu stosowania:,torasemid,spironolakton,hydrochlorotiazyd,karbamazepina,,demeklocyklina,tolwaptan,mannitol,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,W przebiegu stosowania ceftazydymu może wystąpić:,trombocytopenia,,,,,reakcja disulfiramopodobna,zespół Hoigne'a,zespół czerwonego karku,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do wankomycyny:,nie wchłania się z przewodu pokarmowego,działa nefrotoksycznie,zwiększa uwalnianie histaminy,jest stosowana w zakażeniu Clostridium difficile,,dobrze wchłania się po podaniu doustnym,jest lekiem z wyboru w zakażeniach pałeczkami Gram-ujemnymi,hamuje syntezę białka na rybosomie bakteryjnym,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Wskaż prawidłowe połączenie lek – wskazanie do stosowania:,kotrimoksazol – bakteryjne zapalenie prostaty,fosfomycyna – niepowikłane zakażenie układu moczowego,,,,imipenem – zakażenie gronkowcami metycylinoopornymi,aztreonam – zakażenie bakteriami beztlenowymi,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Penicylinę G zastosujesz w leczeniu:,angina,kiła,tężec,promienica,,zakażenie Mycoplasma pneumoniae,zakażenie gronkowcem metycylinoopornym,rzekomobłoniaste zapalenie jelit,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Hipokaliemia może wystąpić w przebiegu stosowania:,chlortalidon,salmeterol,,,,enalapryl,eplerenon,,,
GLIKOKORTYKOSTEROIDY,Wskazania,,testowe,Glikokortykosteroidy zastosujesz w:,przełom nadnerczowy,obrzęk nagłośni,choroba Addisona,choroba Leśniowskiego-Crohna,,zespół Cushinga,osteoporoza pomenopauzalna,jaskra z otwartym kątem przesączania,,
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,,testowe,Hamowanie syntezy białka komórki bakteryjnej wskutek działania na rybosom wykazuje:,linezolid,amikacyna,,,,norfloksacyna,kolistyna,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Metronidazol powoduje:,metaliczny smak w ustach,reakcja disulfiramowa,,,,uszkodzenie wątroby,objawy płatowego zapalenia płuc,,,
TARCZYCA,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do jodku potasu:,powoduje obrzęk ślinianek,może nasilić trądzik,zaburza czynność tarczycy,jest przeciwwskazany w gruźlicy,,powoduje agranulocytozę,jest lekiem pierwszego rzutu w niedoczynności tarczycy,nie przenika do mleka matki,,
UKŁAD ODDECHOWY,Klasyfikacja,,testowe,Do leków mukolitycznych należy:,N-acetylocysteina,ambroksol,,,,gwajafenezyna,okseladyna,,,
CUKRZYCA,Mechanizm działania,,testowe,Wydzielanie insuliny zwiększa:,glibenklamid,repaglinid,,,,metformina,pioglitazon,,,
CUKRZYCA,Działania niepożądane,,testowe,Do działań niepożądanych leków inkretynowych – inhibitorów DPP-4 należy:,zastoinowa niewydolność krążenia,wzdęcie brzucha,hipoglikemia w skojarzeniu z pochodnymi sulfonylomocznika,,,ostre zapalenie pęcherzyka żółciowego,,,,
TARCZYCA,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do propylotiouracylu:,hamuje konwersję T4 w T3,hamuje syntezę hormonów tarczycy,powoduje agranulocytozę,,,zwiększa ryzyko choroby wrzodowej,,,,
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,,testowe,Wskaż prawidłowe połączenie lek przeciwprątkowy – mechanizm działania:,izoniazyd – hamowanie syntezy kwasów mykolowych wchodzących w skład ściany komórkowej prątka,ryfampicyna – blokowanie bakteryjnej polimerazy RNA zależnej od DNA,streptomycyna – hamowanie syntezy białka,,,pyrazynamid – hamowanie gyrazy w komórce prątka,,,,
UKŁAD POKARMOWY,Działania niepożądane,,testowe,Pantoprazol może być przyczyną:,zmniejszenia wchłaniania witaminy B12 z przewodu pokarmowego,hipergastrynemii,częstszych złamań kości,zwiększenia liczby zakażeń przewodu pokarmowego,,hipogastrynemii,zwiększenia wydzielania kwasu solnego,zwiększenia wchłaniania witaminy B12,,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do metoklopramidu:,blokuje receptory D-2 w rdzeniu przedłużonym,zwiększa opróżnianie żołądka,,,,pobudza receptory serotoninowe 5-HT3,działa cholinolitycznie,,,
UKŁAD POKARMOWY,Klasyfikacja,,testowe,Do leków przeczyszczających należy:,przetwory senesu,makrogol,fosforan sodu,,,oktreotyd,,,,
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Amlodypina jest przyczyną:,zaczerwienienia twarzy,zaparcia,obrzęków obwodowych,,,bloków serca,,,,
UKŁAD WSPÓŁCZULNY,Klasyfikacja,,testowe,Do beta-adrenolityków naczyniorozszerzających należy:,karwedilol,,,,,atenolol,betaksolol,tymolol,,
NIEWYDOLNOŚĆ SERCA,Działania niepożądane,,testowe,Podczas stosowania digoksyny może wystąpić:,blok serca,ginekomastia,częstoskurcz węzłowy,zaburzenie widzenia,,hipokaliemia,kaszel,obrzęk naczynioruchowy,,
ZABURZENIA RYTMU SERCA,Klasyfikacja,,testowe,Do leków antyarytmicznych należy:,adenozyna,amiodaron,,,,nimodypina,alfuzosyna,,,
LEKI PRZECIWDEPRESYJNE,Klasyfikacja,,testowe,Działanie przeciwdepresyjne wykazuje:,mianseryna,citalopram,moklobemid,imipramina,,haloperydol,buspiron,zolpidem,,
LEKI PRZECIWLĘKOWE,Wskazania,,testowe,Benzodiazepiny są stosowane w:,stanach wzmożonego napięcia mięśniowego,leczeniu zespołu abstynencyjnego w chorobie alkoholowej,premedykacji,,,zatruciu glikozydami naparstnicy,,,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Złośliwy zespół neuroleptyczny objawia się:,drżenie włókienkowe,hipertermia,,,,akatyzja,bradykardia,,,
ZABURZENIA RYTMU SERCA,Działania niepożądane,,testowe,Do leków istotnie wydłużających odstęp QT należy:,erytromycyna,astemizol,moksyfloksacyna,cyzapryd,,amoksycylina,loratadyna,ranitydyna,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do klozapiny:,obniża próg drgawkowy,powoduje agranulocytozę,,,,częściej niż chloropromazyna powoduje zespół parkinsonopodobny,powoduje obrzęk plamki żółtej,,,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do ondansetronu:,jest stosowany w wymiotach przy chemioterapii,jest antagonistą receptorów 5-HT3,,,,powoduje hiperprolaktynemię,podwyższa stężenie trójglicerydów we krwi,,,
UKŁAD POKARMOWY,Wskazania,,testowe,W chorobie lokomocyjnej zastosujesz:,skopolamina,dimenhydrynat,,,,lorazepam,aprepitant,,,
ZNIECZULENIA OGÓLNE,Sposób podania,,testowe,Wziewnie w znieczuleniu ogólnym zastosujesz:,halotan,podtlenek azotu,,,,etomidat,propofol,,,
GLIKOKORTYKOSTEROIDY,Mechanizm działania,,testowe,Glikokortykosteroidy zmniejszają liczbę:,monocytów,limfocytów,,,,płytek krwi,neutrofili,,,
LEKI PRZECIWHISTAMINOWE,Wskazania,,testowe,Leki blokujące receptor H1 pierwszej generacji znalazły zastosowanie:,w chorobie lokomocyjnej,w leczeniu zawrotów głowy,w leczeniu dermatologicznych zmian atopowych,we wstrząsie anafilaktycznym,,w leczeniu astmy oskrzelowej jako leki pierwszego rzutu,w leczeniu jaskry z zamkniętym kątem przesączania,w leczeniu nadciśnienia tętniczego,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Po zastosowaniu kodeiny może wystąpić:,zaparcie,senność,zwężenie źrenic,,,kaszel,,,,
UKŁAD ODDECHOWY,Mechanizm działania,,testowe,Wybierz prawidłowe połączenie lek – mechanizm działania:,bromheksyna – aktywacja enzymów hydrolitycznych,dornaza alfa – hydroliza DNA zawartego w plwocinie,montelukast – antagonista receptorów leukotrienów CysLT1,,,kodeina – antagonista receptorów opioidowych,,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Wskaż prawidłowy zestaw lek – działanie niepożądane:,paracetamol – hepatotoksyczność,kwas acetylosalicylowy – nefrotoksyczność,indometacyna – zaburzenia neurologiczne,metamizol – agranulocytoza,,celekoksyb – hipertermia złośliwa,ibuprofen – methemoglobinemia,kwas acetylosalicylowy – zespół Cushinga,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Zjawisko samoindukcji:,to zdolność niektórych leków do przyspieszania własnego metabolizmu,zachodzi podczas długotrwałego stosowania niektórych leków,jest przyczyną powstawania tolerancji na lek,"może zwiększać skuteczność terapeutyczną leku, gdy formą aktywną jest metabolit",,polega na hamowaniu własnego metabolizmu przez lek,występuje wyłącznie po podaniu dożylnym,dotyczy wyłącznie leków wydalanych w postaci niezmienionej,,
CUKRZYCA,Działania niepożądane,,testowe,Działaniem niepożądanym insuliny jest:,lipodystrofia poinsulinowa,obrzęki,hipertrofia poinsulinowa,hipoglikemia,,kwasica ketonowa,agranulocytoza,hiperkaliemia,,
ANTYKONCEPCJA,Mechanizm działania,,testowe,Działanie środków antykoncepcyjnych polega na:,niedopuszczeniu do owulacji przez zahamowanie wydzielania gonadotropin,zmianie konsystencji śluzu szyjkowego,zaburzeniu perystaltyki jajowodów,spowodowaniu utraty zdolności do kapacytacji przez plemniki,,pobudzeniu wydzielania gonadotropin,zwiększeniu grubości endometrium,blokowaniu receptorów androgenowych w jądrze,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Mechanizm działania,,testowe,Lekiem selektywnie hamującym cyklooksygenazę-2 jest:,celekoksyb,,,,,ibuprofen,nimesulid,diklofenak,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Klasyfikacja,,testowe,Do 3 stopnia drabiny analgetycznej należy:,metadon,morfina,,,,tramadol,kodeina,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Mechanizm działania,,testowe,COX-1 jest nieodwracalnie blokowana przez:,kwas acetylosalicylowy,,,,,metamizol,naproksen,piroksykam,,
LEKI PRZECIWWIRUSOWE,Wskazania,,testowe,W leczeniu opryszczki zastosujesz:,acyklowir,,,,,gancyklowir,oseltamiwir,walgancyklowir,,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,W profilaktyce malarii zastosujesz:,proguanil,meflochina,,,,pirymetamina,chinina,,,
LEKI HIPOLIPEMIZUJĄCE,Wskazania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do atorwastatyny:,jest stosowana w zespole metabolicznym,podawana jest chorym po udarze niedokrwiennym mózgu,,,,indukuje reduktazę HMG-CoA,obniża stężenie frakcji HDL,,,
BÓLE GŁOWY,Mechanizm działania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do ryzatryptanu:,jest agonistą receptorów 5-HT1B/1D,może być podawany łącznie z niesteroidowym lekiem przeciwzapalnym,jest przeciwwskazany u osób z chorobą wieńcową,jest podawany doustnie,,jest antagonistą receptorów 5-HT3,jest lekiem pierwszego rzutu w profilaktyce migreny,może być podawany łącznie z inhibitorami MAO,,
CHOROBA PARKINSONA,Klasyfikacja,,testowe,Agonistą receptora dopaminergicznego jest:,pergolid,kabergolina,,,,oksybutynina,selegilina,,,
PADACZKA,Klasyfikacja,,testowe,Działanie przeciwdrgawkowe wykazuje:,tiagabina,kwas walproinowy,gabapentyna,lamotrygina,,flumazenil,teofilina,bupropion,,
STANY NAGŁE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do hydroksyetyloskrobi:,gromadzi się w narządach miąższowych,powoduje silny świąd,,,,jest hepatotoksyczna,powoduje agranulocytozę,,,
JASKRA,Wskazania,,testowe,W jaskrze zastosujesz:,acetazolamid,tymolol,pilokarpina,,,solifenacyna,,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,Neostygmina jest stosowana w:,nużliwości mięśni,atonii pooperacyjnej jelit,odwróceniu działania związków wywołujących blok typu niedepolaryzacyjnego,,,zatruciu pestycydami,,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Wskaż prawidłowe połączenie lek – działanie niepożądane:,kotrimoksazol – zespół Stevensa-Johnsona,etambutol – pozagałkowe zapalenie nerwu wzrokowego,ryfampicyna – uszkodzenie wątroby,,,klonidyna – wzrost ciśnienia,,,,
STANY NAGŁE,Antidotum,,testowe,Wskaż prawidłowe połączenie lek – leczenie przedawkowania:,midazolam – flumazenil,izoniazyd – witamina B6,fentanyl – nalokson,paracetamol – acetylocysteina,,morfina – flumazenil,warfaryna – siarczan protaminy,heparyna – witamina K,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Wskaż właściwe stwierdzenia odnoszące się do morfiny:,zwiększa uwalnianie histaminy,zwęża źrenicę,działa uspokajająco,wykazuje działanie przeciwkaszlowe,,rozszerza źrenicę,pobudza ośrodek oddechowy,nasila perystaltykę jelit,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W zakażeniu gronkowcem możesz zastosować:,chinuprystyna/dalfoprystyna,teikoplanina,imipenem,kloksacylina,,aztreonam,kolistyna,kwas nalidyksowy,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W leczeniu zakażeń kości możesz zastosować:,klindamycyna,wankomycyna,chloramfenikol,,,netilmycyna,,,,
BÓLE GŁOWY,Wskazania,,testowe,Podaj prawidłowe połączenie lek – wskazanie:,propranolol – drżenie włókienkowe,karbamazepina – neuralgia nerwu trójdzielnego,sumatryptan – migrena,oseltamiwir – grypa,,propranolol – astma oskrzelowa,karbamazepina – jaskra,sumatryptan – choroba wieńcowa,,
LEKI TOKSYCZNE W CIĄŻY,Ciąża,,testowe,Lekiem przeciwwskazanym do podawania w ciąży jest:,symwastatyna,talidomid,etretynat,metotreksat,,penicylina benzylowa,paracetamol,insulina,,
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,,testowe,W anginie Prinzmetala możesz zastosować:,nitrogliceryna,nikardypina,,,,metoprolol,karwedilol,,,
HEMOSTAZA,Mechanizm działania,,testowe,Działanie antyagregacyjne wykazuje:,klopidogrel,kwas acetylosalicylowy,,,,rywaroksaban,dabigatran,,,
HEMOSTAZA,Przeciwwskazania,,testowe,Heparyna jest przeciwwskazana u chorych:,z nadciśnieniem złośliwym,z małopłytkowością,,,,z chorobą nowotworową,leżących,,,
HEMOSTAZA,Działania niepożądane,,testowe,Działaniem niepożądanym heparyny drobnocząsteczkowej jest:,krwawienie,,,,,osteoporoza,hiperaldosteronizm,łysienie,,
HEMOSTAZA,Wskazania,,testowe,Leczenie trombolityczne zastosujesz w:,zawał mięśnia sercowego,udar niedokrwienny mózgu,,,,obrzęk płuc,encefalopatia nadciśnieniowa,,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Wskazania,,testowe,Naproksen wykazuje skuteczność w:,ból miesiączkowy,,,,,ból zawałowy,ból porodowy,profilaktyka udaru niedokrwiennego mózgu,neuralgia półpaścowa,
HEMOSTAZA,Wskazania,,testowe,W krwawieniu o nieznanej przyczynie zastosujesz:,kwas traneksamowy,,,,,prasugrel,iwabradyna,fondaparynuks,meloksykam,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Dostępność biologiczna leku przy podaniu doustnym nie zależy od:,czasu biologicznego półtrwania,,,,,stopnia jonizacji leku,wielkości cząsteczki leku,obecności pokarmu,perystaltyki przewodu pokarmowego,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W leczeniu oparzeń możesz zastosować:,jodowany poliwidon,,,,,chlorheksydyna,nystatyna,mupirocyna,fiolet krystaliczny,
LEKI PRZECIWHISTAMINOWE,Klasyfikacja,,testowe,Działanie przeciwhistaminowe wykazuje:,akrywastyna,,,,,estazolam,mianseryna,ksylometazolina,donepezil,
LEKI MOCZOPĘDNE,Wskazania,,testowe,Wskaż właściwe stwierdzenie odnoszące się do mannitolu:,jest wskazany w obrzęku mózgu,,,,,jest podawany doustnie,jest wskazany w obrzęku płuc,podwyższa stężenie potasu,jest agonistą receptorów alfa,
UKŁAD ODDECHOWY,Sposób podania,,testowe,Wziewnie w astmie oskrzelowej zastosujesz:,beklometazon,,,,,metyloprednizolon,triamcynolon,hydrokortyzon,ketotifen,
STANY NAGŁE,Wskazania,,testowe,Adrenalina jest wskazana w:,stan astmatyczny,wstrząs anafilaktyczny,jaskra z otwartym kątem przesączania,resuscytacja krążeniowo-oddechowa,,nadciśnienie tętnicze,przełom tarczycowy,guz chromochłonny nadnerczy,,
