Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Do działań niepożądanych kwasu acetylosalicylowego należy:,zaburzenie czynności nerek,skurcz oskrzeli,zwiększenie stężenia transaminaz w surowicy,krwawienie z żołądka,,nadkrzepliwość,hipertermia złośliwa,przerost dziąseł,,
ZNIECZULENIA OGÓLNE,Działania niepożądane,,testowe,Ketamina:,zwiększa zużycie tlenu przez tkankę mózgową,powoduje halucynacje,pobudza czynność serca,powoduje koszmary senne,,obniża ciśnienie tętnicze,zwalnia czynność serca,zmniejsza przepływ mózgowy,,
ZNIECZULENIA OGÓLNE,Działania niepożądane,,testowe,Podtlenek azotu:,powoduje niedotlenienie tkanek,,,,,jest nefrotoksyczny,podlega metabolizmowi wątrobowemu,jest hepatotoksyczny,,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,Działaniem niepożądanym leków hamujących wychwyt zwrotny serotoniny jest:,nudności,biegunka,zawroty głowy,dysfunkcje seksualne,,agranulocytoza,hipertermia złośliwa,przerost dziąseł,,
HEMOSTAZA,Działania niepożądane,,testowe,Działaniem niepożądanym heparyny jest:,łysienie,trombocytopenia,osteoporoza,krwawienie,,hiperaldosteronizm,nadkrzepliwość pierwotna,methemoglobinemia,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Stosowanie piroksykamu może prowadzić do:,wystąpienia obrzęków,gorszej kontroli ciśnienia tętniczego,,,,obniżonej tolerancji glukozy,moczówki prostej,,,
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,,testowe,Aminoglikozydy:,kumulują się w korze nerek,są wydzielane w formie niezmienionej przez nerki,,,,dobrze przechodzą przez barierę krew-mózg,dobrze wchłaniają się z przewodu pokarmowego,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Klindamycyna jest stosowana w zakażeniu:,Bacteroides fragilis,Propionibacterium acnes,Staphylococcus aureus,,,Actinomyces israelii,,,,
LEKI PRZECIWPASOŻYTNICZE,Mechanizm działania,,testowe,Embonian pyrantelu:,pobudza receptory nikotynowe,jest stosowany w zakażeniu Ascaris lumbricoides,,,,potęguje aktywność GABA,blokuje pobieranie glukozy,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,Neostygmina może być stosowana w:,zatrzymaniu moczu,przedawkowaniu d-tubokuraryny,porażennej niedrożności jelita,terapii jaskry,,zatruciu związkami fosforoorganicznymi,astmie oskrzelowej,bradykardii zatokowej,,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,Flukonazol jest stosowany w zakażeniu:,Cryptococcus,Histoplasma,Coccidioides,Candida,,Aspergillus,Mucor,Epidermophyton,,
LEKI PRZECIWGRZYBICZE,Mechanizm działania,,testowe,Terbinafina:,jest inhibitorem aktywności epoksydazy skwalenowej,może być podawana miejscowo i doustnie,,,,uszkadza chrząstkę stawową,działa fototoksycznie,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Metronidazol jest stosowany w zakażeniu:,Giardia lamblia,Bacteroides fragilis,Entamoeba histolytica,Clostridium difficile,,Pseudomonas aeruginosa,Candida albicans,Mycobacterium tuberculosis,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Złośliwy zespół neuroleptyczny objawia się:,wzrostem aktywności kinazy fosfokreatynowej,sztywnością mięśni,dysfagią,,,hipotermią,,,,
HEMOSTAZA,Mechanizm działania,,testowe,Klopidogrel:,hamuje wiązanie ADP z receptorem płytkowym P2Y12,może być podawany łącznie z kwasem acetylosalicylowym u chorych po założeniu stentu naczyniowego,,,,powoduje hiperkaliemię,zwiększa ryzyko wystąpienia zespołu Reye’a,,,
NADCIŚNIENIE TĘTNICZE,Wskazania,,testowe,W stanie nagłym w celu obniżenia ciśnienia tętniczego zastosujesz:,urapidyl,labetalol,nitroprusydek sodu,,,guanetydyna,,,,
UKŁAD PRZYWSPÓŁCZULNY,Mechanizm działania,,testowe,Pilokarpina:,przechodzi przez barierę krew-mózg,powoduje skurcz mięśnia rzęskowego,ma powinowactwo do receptorów muskarynowych,,,jest rozkładana przez acetylocholinoesterazę,,,,
LEKI PRZECIWPSYCHOTYCZNE,Wskazania,,testowe,Neuroleptyki mogą być stosowane:,w leczeniu uporczywej czkawki,jako leki przeciwwymiotne,w leczeniu świądu,w leczeniu psychoz,,w leczeniu choroby Parkinsona,w leczeniu jaskry,w leczeniu nużliwości mięśni,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Połączenie trimetoprim/sulfametoksazol jest stosowane:,w zakażeniach przewodu pokarmowego,w bakteryjnym zakażeniu gruczołu krokowego,w zakażeniu dróg moczowych,w zapaleniu płuc wywołanym przez Pneumocystis jirovecii,,w zakażeniu Pseudomonas aeruginosa,w gruźlicy,w rzekomobłoniastym zapaleniu jelit,,
HEMOSTAZA,Mechanizm działania,,testowe,Kwas epsilon-aminokapronowy:,hamuje rozpuszczanie skrzepu,jest stosowany w krwawieniach spowodowanych niedoborem fibrynogenu,może wywołać zakrzepowe zapalenie żył,,,nasila działanie streptokinazy,,,,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,Miejscowo w grzybicy jamy ustnej zastosujesz:,nystatyna,,,,,klotrimazol,amfoterycyna B,amorolfina,,
LEKI PRZECIWDEPRESYJNE,Wskazania,,testowe,W profilaktyce choroby afektywnej dwubiegunowej możesz zastosować:,arypiprazol,kwas walproinowy,węglan litu,,,droperidol,,,,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,W przebiegu stosowania węglanu litu może wystąpić:,hiperglikemia,drżenie włókienkowe,niedoczynność tarczycy,wielomocz,,nadczynność tarczycy,skąpomocz,agranulocytoza,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Podczas stosowania kwetiapiny może wystąpić:,przyrost masy ciała,zwiększenie stężenia cholesterolu we krwi,suchość w ustach,,,skłonność do hazardu,,,,
LEKI PRZECIWLĘKOWE,Wskazania,,testowe,W przebiegu zespołu abstynencyjnego w chorobie alkoholowej zastosujesz:,propranolol,diazepam,,,,citalopram,klometiazol,,,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Wskaż prawidłowe połączenie lek – mechanizm działania:,skopolamina – antagonista receptora muskarynowego,palonosetron – antagonista receptora 5-HT3,metoklopramid – antagonista receptora D2,aprepitant – antagonista receptora neurokininy 1,,ondansetron – agonista receptora 5-HT3,domperidon – agonista receptora D2,dimenhydrynat – agonista receptora H1,,
LEKI NASENNE,Wskazania,,testowe,W krótkotrwałym leczeniu bezsenności zastosujesz:,zopiklon,,,,,ramelteon,hydroksyzyna,tiopental,,
FARMAKOKINETYKA,Interakcje,,testowe,Enzymy mikrosomalne wątroby indukuje:,fenytoina,karbamazepina,fenobarbital,,,kwas walproinowy,,,,
PADACZKA,Działania niepożądane,,testowe,Zmniejszenie masy ciała może wystąpić w przebiegu stosowania:,karbamazepina,,,,,kwas walproinowy,chloropromazyna,betametazon,,
BÓLE GŁOWY,Wskazania,,testowe,W zapobieganiu migrenie zastosujesz:,topiramat,metoprolol,walproinian sodu,toksyna botulinowa,,sumatryptan,ergotamina,paracetamol,,
NADCIŚNIENIE TĘTNICZE,Farmakokinetyka,,testowe,Korzystny współczynnik T/P (trough-to-peak) wykazuje:,lacydypina,peryndopryl,felodypina CR,telmisartan,,kaptopryl,nifedypina o natychmiastowym uwalnianiu,prazosyna,,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,Zaburzenia pozapiramidowe mogą wystąpić w przebiegu stosowania:,chloropromazyna,metoklopramid,,,,lorazepam,rywastygmina,,,
CUKRZYCA,Działania niepożądane,,testowe,W przebiegu leczenia insuliną może wystąpić:,przyrost masy ciała,lipodystrofia,hipoglikemia,,,kwasica ketonowa,,,,
TARCZYCA,Mechanizm działania,,testowe,Obwodową konwersję T4 w T3 hamuje:,amiodaron,propranolol,jodowe środki kontrastowe,propylotiouracyl,,tiamazol,lewotyroksyna,karbimazol,,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,Do działań niepożądanych metamizolu należy:,wypadanie włosów,agranulocytoza,,,,zwiększenie ciśnienia śródgałkowego,nykturia,,,
LEKI PRZECIWLĘKOWE,Wskazania,,testowe,W terapii lęku zastosujesz:,diazepam,escitalopram,,,,rysperydon,tiamytal,,,
GLIKOKORTYKOSTEROIDY,Działania niepożądane,,testowe,W przebiegu stosowania prednizonu może wystąpić:,nadpłytkowość,hipokaliemia,zaćma,wzrost ciśnienia tętniczego,,hiperkaliemia,małopłytkowość,hipotonia ortostatyczna,,
UKŁAD WSPÓŁCZULNY,Wskazania,,testowe,W leczeniu nieżytu nosa możesz zastosować:,pseudoefedryna,fenylefryna,tetryzolina,,,okseladyna,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Podchloryn sodu może być stosowany:,do dezynfekcji kanałów korzeniowych w leczeniu endodontycznym,do amputacji przyżyciowej miazgi w zębach mlecznych,,,,do dezynfekcji skóry chorego przed operacją,w leczeniu czyraczności,,,
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,,testowe,Celem profilaktyki wtórnej incydentu sercowo-naczyniowego należy stosować:,rozuwastatyna,kwas acetylosalicylowy,,,,bisoprolol,nitrogliceryna,,,
LEKI MOCZOPĘDNE,Wskazania,,testowe,Furosemid zastosujesz w:,niewydolności serca,ostrej niewydolności nerek,obrzęku płuc,nadciśnieniu tętniczym,,hipowolemii,hiponatremii,zatruciu glikozydami naparstnicy,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Hipokaliemia może wystąpić w przebiegu stosowania:,salbutamol,prednizon,indapamid,,,chinapryl,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W trądziku młodzieńczym zastosujesz:,kwas fusydowy,erytromycyna,tetracyklina,,,mupirocyna,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Gramicydynę zastosujesz w:,zakażeniu błony naczyniowej,zakażeniach przewodu słuchowego zewnętrznego,,,,zakażeniu protez stawowych,zanokcicy,,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Zasadowicę metaboliczną mogą powodować:,diuretyki pętlowe,tiazydy,,,,inhibitory anhydrazy węglanowej,diuretyki oszczędzające potas,,,
STANY NAGŁE,Działania niepożądane,,testowe,Hydroksyetyloskrobia:,może być stosowana w przebiegu wstrząsu septycznego,powoduje świąd skóry oporny na działanie leków przeciwhistaminowych,może powodować zaburzenia krzepnięcia krwi,uszkadza nerki,,jest hepatotoksyczna,powoduje agranulocytozę,jest przeciwwskazana w hipowolemii,,
ZNIECZULENIA MIEJSCOWE,Wskazania,,testowe,Lidokaina może być stosowana w:,neuralgii popółpaścowej,bólach fantomowych,bolesnej polineuropatii,znieczuleniu skóry przed cewnikowaniem żył,,znieczuleniu ogólnym wziewnym,premedykacji doustnej,leczeniu methemoglobinemii,,
PADACZKA,Wskazania,,testowe,W stanie padaczkowym celowe jest zastosowanie:,lorazepam,fenytoina,fenobarbital,,,gabapentyna,,,,
PADACZKA,Wskazania,,testowe,Wskaż prawidłowe połączenie lek – wskazanie:,drżenie samoistne – propranolol,padaczka z napadami uogólnionymi toniczno-klonicznymi – kwas walproinowy,,,,zespół niespokojnych nóg – sertralina,poród przedwczesny – dihydroergotamina,,,
GLIKOKORTYKOSTEROIDY,Sposób podania,,testowe,Wziewnie stosuje się:,mometazon,cyklezonid,,,,deksametazon,hydrokortyzon,,,
LEKI PRZECIWDEPRESYJNE,Wskazania,,testowe,Trójpierścieniowe leki przeciwdepresyjne możesz zastosować w leczeniu:,moczenia nocnego,zespołu natręctw,ciężkiej postaci depresji,,,zespołu neuroleptycznego,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W zakażeniu kości zastosujesz:,teikoplanina,klindamycyna,,,,limecyklina,kolistyna,,,
CHOROBA PARKINSONA,Wskazania,,testowe,W leczeniu choroby Parkinsona możesz zastosować:,pramipeksol,selegilina,L-dopa,,,moklobemid,,,,
LEKI MOCZOPĘDNE,Działania niepożądane,,testowe,Zmniejszenie stężenia wapnia w surowicy może wystąpić podczas terapii:,torasemid,metyloprednizolon,,,,fenoterol,diltiazem,,,
UKŁAD ODDECHOWY,Sposób podania,,testowe,Wskaż odpowiedź fałszywą dotyczącą leków działających na drogi oddechowe:,ostatnią dawkę acetylocysteiny należy przyjąć tuż przed snem,,,,,przy podawaniu leków wykrztuśnych i sekretolitycznych należy zadbać o odpowiednią podaż płynów,ambroksol jest metabolitem bromheksyny,kodeina dobrze wchłania się z przewodu pokarmowego,N-acetylocysteinę podaje się przy przedawkowaniu paracetamolu,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Mechanizm działania pantoprazolu polega na:,hamowaniu aktywności pompy protonowej,,,,,blokowaniu receptora histaminowego typu 2,zwiększeniu stężenia prostaglandyny E w żołądku,specyficznym blokowaniu receptorów muskarynowych typu 1,działaniu neutralizującym,
LEKI PRZECIWBAKTERYJNE,Interakcje,,testowe,Suplementacja pirydoksyną jest zalecana podczas stosowania:,izoniazyd,,,,,streptomycyna,pirazynamid,etambutol,etionamid,
LEKI MOCZOPĘDNE,Mechanizm działania,,testowe,Antagonistą aldosteronu jest:,eplerenon,,,,,triamcynolon,ketokonazol,gancyklowir,sumatryptan,
CHOROBA NIEDOKRWIENNA SERCA,Interakcje,,testowe,Podczas stosowania diazotanu izosorbidu nie możesz zastosować:,sildenafil,,,,,chlortalidon,fenytoina,deksametazon,spironolakton,
LEKI ROŚLINNE I SUPLEMENTY,Mechanizm działania,,testowe,Nasiona Foeniculum vulgare wykazują działanie:,estrogenne,,,,,nefrotoksyczne,hepatotoksyczne,karcinogenne,zapierające,
LEKI PRZECIWWIRUSOWE,Wskazania,,testowe,W leczeniu grypy zastosujesz:,oseltamiwir,,,,,acyklowir,kapsaicyna,abakawir,lamiwudyna,
CUKRZYCA,Działania niepożądane,,testowe,Niedokrwistość megaloblastyczna może wystąpić podczas terapii:,metformina,,,,,gliklazyd,nateglinid,sitagliptyna,pioglitazon,
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Stężenie kwasu moczowego w surowicy obniża:,walsartan,,,,,klonidyna,hydrochlorotiazyd,metoprolol,terazosyna,
NADCIŚNIENIE TĘTNICZE,Mechanizm działania,,testowe,Inhibitorem reniny jest:,aliskiren,,,,,rezerpina,urapidil,benazepryl,moksonidyna,
HEMOSTAZA,Mechanizm działania,,testowe,Bezpośrednim inhibitorem czynnika Xa jest:,rywaroksaban,,,,,dabigatran,fondaparynuks,eptifibatyd,prasugrel,
PADACZKA,Działania niepożądane,,testowe,Wskaż fałszywe twierdzenie dotyczące karbamazepiny:,może powodować zespół parkinsonowski,,,,,stosowana jest w neuralgii nerwu trójdzielnego,działa przeciwdrgawkowo,powoduje hiponatremię,powoduje zmniejszenie masy ciała,
NADCIŚNIENIE TĘTNICZE,Wskazania,,testowe,Amlodypina stosowana jest w:,nadciśnieniu tętniczym,,,,,obrzękach pochodzenia nerkowego,zaburzeniach rytmu serca,kardiomiopatii przerostowej,nefropatii cukrzycowej,
LEKI PRZECIWDEPRESYJNE,Mechanizm działania,,testowe,Wskaż fałszywe twierdzenie dotyczące amitryptyliny:,selektywnie hamuje wychwyt zwrotny serotoniny,,,,,działa cholinolitycznie,stosowana jest w bólu neuropatycznym,obniża próg drgawkowy,działa przeciwdepresyjnie,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,W terapii myasthenia gravis zastosujesz:,pirydostygmina,,,,,propylotiouracyl,selegilina,lewetyracetam,oksybutynina,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W zakażeniach metycylinoopornymi szczepami Staphylococcus aureus (MRSA) zastosujesz:,linezolid,,,,,kolistyna,kloksacylina,spektynomycyna,tygecyklina,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Zaburzenia słuchu mogą wystąpić w przebiegu stosowania:,wankomycyna,,,,,cefuroksym,dalfoprystyna/chinuprystyna,azytromycyna,doksycyklina,
OTĘPIENIE,Wskazania,,testowe,W terapii choroby Alzheimera możesz zastosować:,donepezil,,,,,sulpiryd,pergolid,lamotrygina,sumatryptan,
LEKI PRZECIWBAKTERYJNE,Farmakokinetyka,,testowe,Zaznacz twierdzenie fałszywe dotyczące amikacyny:,dobrze wchłania się z przewodu pokarmowego,,,,,ma efekt poantybiotykowy,wykazuje synergizm z beta-laktamami w stosunku do enterokoków,może spowodować ostrą niewydolność nerek,nie działa na beztlenowce,
CUKRZYCA,Mechanizm działania,,testowe,Wydzielanie insuliny stymuluje:,liraglutyd,,,,,miglitol,metformina,pioglitazon,pramlintyd,
NIEWYDOLNOŚĆ SERCA,Przeciwwskazania,,testowe,W niewydolności serca przeciwwskazane jest podawanie:,werapamil,nimesulid,,,,iwabradyna,amiodaron,,,
LEKI HIPOLIPEMIZUJĄCE,Mechanizm działania,,testowe,Blaszki miażdżycowe w naczyniach wieńcowych stabilizuje:,simwastatyna,,,,,enoksaparyna,dabigatran,digoksyna,nebiwolol,
UKŁAD ODDECHOWY,Wskazania,,testowe,Do przerywania napadu duszności w astmie zalecisz:,bromek ipratropium w nebulizacji,salbutamol dożylnie,,,,teofilina w syropie,salmeterol w aerozolu,,,
HEMOSTAZA,Wskazania,,testowe,Do hamowania krwawień służy ogólnoustrojowe podanie:,kwas traneksamowy,,,,,abciksimab,kolagen,dekstran,mannitol,
NADCIŚNIENIE TĘTNICZE,Wskazania,,testowe,W nefropatii cukrzycowej celowe jest zastosowanie:,lizynopryl,,,,,nitrendypina,nitrogliceryna,klopamid,prazosyna,
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,,testowe,Syntezę ściany komórkowej hamuje:,imipenem,,,,,ryfampicyna,lewofloksacyna,netilmycyna,,
LEKI HIPOLIPEMIZUJĄCE,Mechanizm działania,,testowe,Bezpośredni wpływ na zahamowanie wchłaniania cholesterolu z przewodu pokarmowego wykazuje:,ezetymib,,,,,kolestyramina,atorwastatyna,fenofibrat,niacyna,
LEKI PRZECIWBAKTERYJNE,Interakcje,,testowe,Ograniczenie pokarmów zawierających tyraminę wskazane jest podczas terapii:,żadnym z wymienionych antybiotyków,,,,,klarytromycyna,cyprofloksacyna,tetracyklina,amoksycylina,
