Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Silny kaszel może wystąpić podczas leczenia:,chinapryl,,,,,walsartan,jodek potasu,minoksydyl,eplerenon,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,W celu rozszerzenia źrenicy celem diagnostyki zmian na dnie oka możesz zastosować:,tropikamid,,,,,pirazynamid,topiramat,pirydostygmina,donepezil,
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,,testowe,"U pacjenta leczonego przez wiele lat z powodu schizofrenii występują działania niepożądane: akinezja, sztywność i drżenie. Są one wynikiem:",działania przeciwdopaminergicznego,,,,,działania przeciwcholinergicznego,obniżenia ekspresji kwasu gamma-aminomasłowego (GABA),hamowania wychwytu zwrotnego serotoniny,działania przeciwserotoninowego,
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Działania niepożądane,,testowe,"Pacjentka zostaje przyjęta do szpitala po spożyciu co najmniej 30 tabletek nieznanego leku. Wstępne badanie fizykalne nie wykazuje żadnych nieprawidłowości. Trzydzieści sześć godzin później aktywność ASPAT w surowicy wynosi 1500 U/L, a ALAT 2000 U/L. Jaki to lek?",paracetamol,,,,,kodeina,ebastyna,diazepam,salbutamol,
UKŁAD POKARMOWY,Mechanizm działania,,testowe,Omeprazol:,hamuje aktywność H+/K+-ATPazy,,,,,jest antagonistą receptorów dla gastryny,jest antagonistą receptorów H2,jest antagonistą receptorów M3,jest analogiem prostaglandyny E,
LEKI PRZECIWBAKTERYJNE,Interakcje,,testowe,"Pacjentka przychodzi do lekarza z powodu nudności, wymiotów i bólów brzucha godzinę po spożyciu kieliszka wina do kolacji. Trzy dni temu zaczęła leczenie zakażenia rzęsistkiem pochwowym. Jaki lek przyjmuje pacjentka?",metronidazol,,,,,ceftriakson,chlorochina,doksycyklina,mebendazol,
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,,testowe,U pacjenta z zakażeniem HIV i zapaleniem płuc wywołanym przez Pneumocystis jirovecii zastosowano skuteczne leczenie trimetoprimem-sulfametoksazolem dzięki hamowaniu aktywności:,reduktazy dihydrofolianowej,,,,,wbudowania steroli do błon komórkowych,kwasu p-aminobenzoesowego,topoizomerazy II,syntezy białka PBP,
HEMOSTAZA,Antidotum,,testowe,Odwrócenie efektu przeciwzakrzepowego heparyny uzyskasz po podaniu:,siarczan protaminy,,,,,heparynaza,kwas traneksamowy,witamina K,antytrombina III,
LEKI PRZECIWDEPRESYJNE,Działania niepożądane,,testowe,Przedawkowanie trójpierścieniowych leków przeciwdepresyjnych może doprowadzić do zgonu pacjenta w wyniku:,zaburzeń rytmu serca,,,,,depresji ośrodka oddechowego,śpiączki,hipertermii,ostrej niewydolności nerek,
LEKI PRZECIWDEPRESYJNE,Mechanizm działania,,testowe,Mechanizm działania litu w psychozie maniakalno-depresyjnej jest związany z:,hamowaniem przemian fosfatydyloinozytoli w komórce,,,,,hamowaniem wychwytu zwrotnego noradrenaliny,hamowaniem wychwytu zwrotnego serotoniny,działaniem antagonistycznym na receptory dopaminergiczne D2,działaniem cholinolitycznym,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Indeks terapeutyczny jest miarą:,bezpieczeństwa,,,,,siły działania leku,selektywności,skuteczności,stopnia wiązania z białkami krwi,
ZNIECZULENIA OGÓLNE,Działania niepożądane,,testowe,Z którym z następujących działań niepożądanych jest związane działanie ketaminy?,omamy i koszmary senne,,,,,podrażnienie dróg oddechowych,obniżenie objętości wyrzutowej serca,hipertermia złośliwa,rabdomioliza,
UKŁAD PRZYWSPÓŁCZULNY,Antidotum,,testowe,"Pacjent z łzawieniem, wymiotami i biegunką, puls 45/min, ciśnienie tętnicze 90/60 mm Hg. Objawy mogą wskazywać na zatrucie:",związkami fosforoorganicznymi,,,,,metanolem,toksyną botulinową,glikolem etylenowym,digoksyną,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,U pacjentki leczonej z powodu ostrej białaczki limfoblastycznej stwierdzono powikłanie – obecność Candida albicans w surowicy. Który z poniższych leków przeciwgrzybiczych należy zastosować?,amfoterycyna B,,,,,nystatyna,klotrimazol,ketokonazol,kapsaicyna,
LEKI PRZECIWGRZYBICZE,Wskazania,,testowe,"U pacjenta z AIDS rozwija się gorączka, ból szyi i światłowstręt. Badanie płynu mózgowo-rdzeniowego ujawnia Cryptococcus neoformans. Który z leków zastosować?",flukonazol,,,,,flucytozyna,gryzeofulwina,cykloseryna,kotrimoksazol,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,Jaki lek przeciwmalaryczny należy zastosować profilaktycznie w przypadku podróży do rejonu z opornością na chlorochinę?,meflochina,,,,,prymachina,doksycyklina,pirymetamina,ryfampicyna,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,W zakażeniu Giardia lamblia możesz zastosować:,metronidazol,,,,,nifurtimoks,mebendazol,suramina,pyrantel,
LEKI PRZECIWPASOŻYTNICZE,Wskazania,,testowe,W leczeniu zakażenia Toxoplasma gondii jest stosowana:,pirymetamina,,,,,iwermektyna,prazykwantel,niklozamid,tiabendazol,
UKŁAD POKARMOWY,Wskazania,,testowe,Pacjent z podwyższonym stężeniem w surowicy wazoaktywnego peptydu jelitowego w związku z nowotworem trzustki (VIP-oma) powinien otrzymać:,oktreotyd,,,,,gastryna,glukagon,sulfasalazyna,famotydyna,
UKŁAD POKARMOWY,Wskazania,,testowe,U pacjenta z rozpoznaniem zespołu Zollingera-Ellisona możesz zastosować:,lansoprazol,,,,,famotydyna,mizoprostol,propantelina,cytrynian potasowo-bizmutawy,
NADCIŚNIENIE TĘTNICZE,Wskazania,,testowe,U pacjenta z nadciśnieniem tętniczym i współistniejącym białkomoczem celowe jest zastosowanie:,peryndopryl,,,,,nikardypina,nitrogliceryna,hydrochlorotiazyd,moksonidyna,
PADACZKA,Działania niepożądane,,testowe,Hepatotoksyczne działanie wykazuje:,kwas walproinowy,,,,,cetyryzyna,mupirocyna,penicylina krystaliczna,bromheksyna,
STANY NAGŁE,Wskazania,,testowe,U 60-letniego chorego z obrzękiem płuc i ciśnieniem krwi 190/110 mmHg zastosujesz:,nitrogliceryna we wlewie dożylnym,,,,,nifedypina podjęzykowo,kaptopryl doustnie,klonidyna doustnie,amiodaron dożylnie,
UKŁAD WSPÓŁCZULNY,Działania niepożądane,,testowe,Ksylometazolina:,może doprowadzić do wystąpienia tzw. „efektu z odbicia”,,,,,jest antagonistą receptorów alfa,skuteczność kliniczną wykazuje po 5 dniach terapii,jest podawana doustnie,dobrze penetruje przez barierę krew-mózg,
